id,timing_quiz_id,question,answerKey,description,recording,active
1957,88,a,a,,NULL,1
1958,88,b,b,,NULL,1
1959,88,c,c,,NULL,1
1960,88,$,$,,NULL,1
1966,88,d,d,,NULL,1
1967,88,e,e,,NULL,1
1968,88,f,f,,NULL,1
1969,88,g,g,,NULL,1
1970,88,h,h,,NULL,1
1971,88,i,i,,NULL,1
1972,88,j,j,,NULL,1
1973,88,k,k,,NULL,1
1974,88,l,l,,NULL,1
1975,88,m,m,,NULL,1
1976,88,n,n,,NULL,1
1977,88,o,o,,NULL,1
1978,88,p,p,,NULL,1
1979,88,q,q,,NULL,1
1980,88,r,r,,NULL,1
1981,88,s,s,,NULL,1
1982,88,t,t,,NULL,1
1983,88,u,u,,NULL,1
1984,88,v,v,,NULL,1
1985,88,w,w,,NULL,1
1986,88,x,x,,NULL,1
1987,88,y,y,,NULL,1
1988,88,z,z,,NULL,1
1990,88,~,~,,NULL,1
1991,88,!,!,,NULL,1
1992,88,@,@,,NULL,1
1993,88,#,#,,NULL,1
1994,88,%,%,,NULL,1
1995,88,^,^,,NULL,1
1996,88,&,&,,NULL,1
1997,88,*,*,,NULL,1
1998,88,(,(,,NULL,1
1999,88,),),,NULL,1
2000,88,-,-,,NULL,1
2002,88,=,=,,NULL,1
2003,88,+,+,,NULL,1
2004,88,[,[,,NULL,1
2005,88,{,{,,NULL,1
2006,88,],],,NULL,1
2007,88,},},,NULL,1
2008,88,\,\,,NULL,1
2009,88,;,;,,NULL,1
2010,88,:,:,,NULL,1
2012,88,",",,NULL,1
2013,88,",",",",,NULL,1
2014,88,<,<,,NULL,1
2015,88,.,.,,NULL,1
2016,88,>,>,,NULL,1
2017,88,/,/,,NULL,1
2018,88,?,?,,NULL,1
